from,to,ndvi_mean,ndwi_mean,year,month,quarter,week,year_month,month_week
2018-01-01 00:00:00+00:00,2018-01-06 00:00:00+00:00,0.3565898940075626,-0.41458689694841605,2018,1,1,1,2018-01,1-1
2018-01-06 00:00:00+00:00,2018-01-11 00:00:00+00:00,0.27259346964493936,-0.3036823003299526,2018,1,1,1,2018-01,1-1
2018-01-11 00:00:00+00:00,2018-01-16 00:00:00+00:00,0.36879074014070773,-0.4355860580909121,2018,1,1,2,2018-01,1-2
2018-01-16 00:00:00+00:00,2018-01-21 00:00:00+00:00,0.33004285819993284,-0.3914923991950772,2018,1,1,3,2018-01,1-3
2018-01-21 00:00:00+00:00,2018-01-26 00:00:00+00:00,0.15681647206115173,-0.13006763931277188,2018,1,1,3,2018-01,1-3
2018-01-26 00:00:00+00:00,2018-01-31 00:00:00+00:00,0.26545030123540053,-0.28060715097046196,2018,1,1,4,2018-01,1-4
2018-01-31 00:00:00+00:00,2018-02-05 00:00:00+00:00,0.23025979865269072,-0.229308951734608,2018,1,1,5,2018-01,1-5
2018-02-05 00:00:00+00:00,2018-02-10 00:00:00+00:00,0.3267948592180677,-0.3730307810319532,2018,2,1,1,2018-02,2-1
2018-02-10 00:00:00+00:00,2018-02-15 00:00:00+00:00,0.32216718064670535,-0.3654834032282708,2018,2,1,1,2018-02,2-1
2018-02-15 00:00:00+00:00,2018-02-20 00:00:00+00:00,0.30899522852753086,-0.3631951670798928,2018,2,1,2,2018-02,2-2
2018-02-20 00:00:00+00:00,2018-02-25 00:00:00+00:00,-0.009997463319417286,0.045378943946123025,2018,2,1,3,2018-02,2-3
2018-02-25 00:00:00+00:00,2018-03-02 00:00:00+00:00,0.3189544249188901,-0.3759774324509773,2018,2,1,3,2018-02,2-3
2018-03-02 00:00:00+00:00,2018-03-07 00:00:00+00:00,0.29281043670326734,-0.34314240498766924,2018,3,1,1,2018-03,3-1
2018-03-07 00:00:00+00:00,2018-03-12 00:00:00+00:00,0.21769675393177096,-0.23396788870678537,2018,3,1,2,2018-03,3-2
2018-03-12 00:00:00+00:00,2018-03-17 00:00:00+00:00,0.23676188668612835,-0.27522214714761684,2018,3,1,3,2018-03,3-3
2018-03-17 00:00:00+00:00,2018-03-22 00:00:00+00:00,0.27254193854240527,-0.3450387229891188,2018,3,1,3,2018-03,3-3
2018-03-22 00:00:00+00:00,2018-03-27 00:00:00+00:00,0.25298945702484266,-0.2887079396826492,2018,3,1,4,2018-03,3-4
2018-03-27 00:00:00+00:00,2018-04-01 00:00:00+00:00,0.1958807715996117,-0.2173718433440763,2018,3,1,5,2018-03,3-5
2018-04-01 00:00:00+00:00,2018-04-06 00:00:00+00:00,0.13432632592650323,-0.12908998154158682,2018,4,2,1,2018-04,4-1
2018-04-06 00:00:00+00:00,2018-04-11 00:00:00+00:00,0.31034155061724417,-0.3636673537907612,2018,4,2,2,2018-04,4-2
2018-04-11 00:00:00+00:00,2018-04-16 00:00:00+00:00,0.28505361213660224,-0.3307682923176033,2018,4,2,3,2018-04,4-3
2018-04-16 00:00:00+00:00,2018-04-21 00:00:00+00:00,0.25427200873504513,-0.28538311498253327,2018,4,2,4,2018-04,4-4
2018-04-21 00:00:00+00:00,2018-04-26 00:00:00+00:00,0.3140731575104896,-0.3767413653182989,2018,4,2,4,2018-04,4-4
2018-04-26 00:00:00+00:00,2018-05-01 00:00:00+00:00,0.01134768586888195,0.004565527977179696,2018,4,2,5,2018-04,4-5
2018-05-01 00:00:00+00:00,2018-05-06 00:00:00+00:00,0.1844751692856808,-0.18073123003297062,2018,5,2,1,2018-05,5-1
2018-05-06 00:00:00+00:00,2018-05-11 00:00:00+00:00,0.31485231842398953,-0.3411053915291388,2018,5,2,1,2018-05,5-1
2018-05-11 00:00:00+00:00,2018-05-16 00:00:00+00:00,0.278675068883655,-0.27697459933381297,2018,5,2,2,2018-05,5-2
2018-05-16 00:00:00+00:00,2018-05-21 00:00:00+00:00,0.3746139690805351,-0.40116329396337974,2018,5,2,3,2018-05,5-3
2018-05-21 00:00:00+00:00,2018-05-26 00:00:00+00:00,0.2761518397538589,-0.2803324728428504,2018,5,2,4,2018-05,5-4
2018-05-26 00:00:00+00:00,2018-05-31 00:00:00+00:00,0.2156766728743907,-0.2010049536977346,2018,5,2,4,2018-05,5-4
2018-05-31 00:00:00+00:00,2018-06-05 00:00:00+00:00,0.19919404291487158,-0.17807728802451303,2018,5,2,5,2018-05,5-5
2018-06-05 00:00:00+00:00,2018-06-10 00:00:00+00:00,0.17844137998080972,-0.1513697503170356,2018,6,2,1,2018-06,6-1
2018-06-10 00:00:00+00:00,2018-06-15 00:00:00+00:00,0.27451373435405135,-0.25636507200378295,2018,6,2,1,2018-06,6-1
